id,name,description,category,latitude,longitude,rating,price_level,tags,image_url,opening_hours
fort-workshop-33,Fort Workshop Hub 34,Curated workshop experience in Fort with local facilitators.,Workshop,18.92640434768903,72.82641986172017,4.6,1,workshop|fort|family,https://placehold.co/600x400?text=Workshop,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
worli-nightlife-34,Worli Nightlife Hub 35,Curated nightlife experience in Worli with local facilitators.,Nightlife,19.011108400260124,72.82419270800507,4.1,1,nightlife|worli|solo,https://placehold.co/600x400?text=Nightlife,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
andheri-cycling-35,Andheri Cycling Hub 36,Curated cycling experience in Andheri with local facilitators.,Cycling,19.118379555565923,72.8632847361474,4.1,3,cycling|andheri|date,https://placehold.co/600x400?text=Cycling,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
thane-food walk-36,Thane Food Walk Hub 37,Curated food walk experience in Thane with local facilitators.,Food Walk,19.193692388485815,72.98414993995533,4.2,0,food walk|thane|culture,https://placehold.co/600x400?text=Food Walk,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
ghatkopar-street art-37,Ghatkopar Street Art Hub 38,Curated street art experience in Ghatkopar with local facilitators.,Street Art,19.08308595133179,72.90622204552099,4.8,0,street art|ghatkopar|family,https://placehold.co/600x400?text=Street Art,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
malad-nature-38,Malad Nature Hub 39,Curated nature experience in Malad with local facilitators.,Nature,19.17721225348154,72.85256427176883,4.7,0,nature|malad|date,https://placehold.co/600x400?text=Nature,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
chembur-skydeck-39,Chembur Skydeck Hub 40,Curated skydeck experience in Chembur with local facilitators.,Skydeck,19.055831801442835,72.90072571507821,4.1,1,skydeck|chembur|solo,https://placehold.co/600x400?text=Skydeck,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
bandra-cafe-40,Bandra Cafe Hub 41,Curated cafe experience in Bandra with local facilitators.,Cafe,19.058252561368022,72.8364897190814,4.1,0,cafe|bandra|family,https://placehold.co/600x400?text=Cafe,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
powai-gallery-41,Powai Gallery Hub 42,Curated gallery experience in Powai with local facilitators.,Gallery,19.120042897879973,72.90681175876202,4.0,0,gallery|powai|date,https://placehold.co/600x400?text=Gallery,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
colaba-trail-42,Colaba Trail Hub 43,Curated trail experience in Colaba with local facilitators.,Trail,18.90132622221208,72.813712822509,4.2,3,trail|colaba|family,https://placehold.co/600x400?text=Trail,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
fort-workshop-43,Fort Workshop Hub 44,Curated workshop experience in Fort with local facilitators.,Workshop,18.92529274242803,72.82504310756703,4.4,3,workshop|fort|solo,https://placehold.co/600x400?text=Workshop,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
worli-nightlife-44,Worli Nightlife Hub 45,Curated nightlife experience in Worli with local facilitators.,Nightlife,19.001460149719804,72.82614635281719,4.9,3,nightlife|worli|date,https://placehold.co/600x400?text=Nightlife,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
andheri-cycling-45,Andheri Cycling Hub 46,Curated cycling experience in Andheri with local facilitators.,Cycling,19.108797957345352,72.86335401796828,4.1,0,cycling|andheri|solo,https://placehold.co/600x400?text=Cycling,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
thane-food walk-46,Thane Food Walk Hub 47,Curated food walk experience in Thane with local facilitators.,Food Walk,19.179143305458147,72.97968355188917,4.5,1,food walk|thane|family,https://placehold.co/600x400?text=Food Walk,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
ghatkopar-street art-47,Ghatkopar Street Art Hub 48,Curated street art experience in Ghatkopar with local facilitators.,Street Art,19.09521557806549,72.89960222930482,4.2,0,street art|ghatkopar|date,https://placehold.co/600x400?text=Street Art,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
malad-nature-48,Malad Nature Hub 49,Curated nature experience in Malad with local facilitators.,Nature,19.184075511026364,72.85683192254459,4.5,0,nature|malad|music,https://placehold.co/600x400?text=Nature,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
chembur-skydeck-49,Chembur Skydeck Hub 50,Curated skydeck experience in Chembur with local facilitators.,Skydeck,19.0536396681099,72.90314746328946,4.5,2,skydeck|chembur|solo,https://placehold.co/600x400?text=Skydeck,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
